"STATION","NAME","DATE","TMAX","TMIN"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-05","78","52"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-06","85","59"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-07","86","61"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-08","88","63"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-09","84","65"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-10","65","58"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-11","63","57"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-12","64","57"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-13","76","61"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-14","79","63"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-15","84","64"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-16","76","69"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-17","82","66"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-18","74","64"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-19","83","66"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-20","80","67"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-21","86","71"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-22","81","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-23","78","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-24","79","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-25","81","68"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-26","92","74"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-27","89","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-28","82","68"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-29","86","68"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-30","77","64"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-31","77","67"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-01","74","66"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-02","83","61"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-03","81","65"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-04","82","68"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-05","86","68"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-06","87","68"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-07","80","68"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-08","88","73"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-09","91","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-10","91","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-11","92","78"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-12","92","72"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-13","99","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-14","98","82"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-15","96","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-16","98","74"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-17","98","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-18","94","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-19","95","72"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-20","96","78"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-21","93","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-22","87","69"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-23","96","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-24","96","80"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-25","96","80"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-26","95","80"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-27","92","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-28","89","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-29","91","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-06-30","93","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-01","98","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-02","88","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-03","86","78"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-04","89","78"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-05","90","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-06","92","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-07","94","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-08","94","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-09","86","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-10","93","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-11","93","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-12","89","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-13","94","74"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-14","92","74"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-15","93","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-16","92","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-17","92","78"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-18","95","80"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-19","86","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-20","90","73"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-21","92","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-22","94","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-23","95","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-24","98","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-25","99","80"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-26","101","80"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-27","101","84"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-28","99","81"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-29","99","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-30","100","81"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-07-31","100","82"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-01","99","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-02","88","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-03","92","73"
