latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
12.82575,106.07713,317.03,1.01,1,2022-02-20,0321,T,71,6.1NRT,286.43,7.82,D
12.45331,105.46026,312.08,1.04,1.02,2022-02-20,0323,T,60,6.1NRT,284.41,6.48,D
12.45199,105.46967,313.17,1.04,1.02,2022-02-20,0323,T,64,6.1NRT,283.86,7.69,D
12.65515,102.83552,323.9,1.4,1.17,2022-02-20,0323,T,76,6.1NRT,298.75,19.7,D
12.17823,106.09757,308.69,1.01,1,2022-02-20,0323,T,54,6.1NRT,283.96,3.81,D
17.66168,120.83681,314.2,2.12,1.42,2022-02-20,0457,A,51,6.1NRT,295.27,17.99,D
27.23978,84.55026,305.49,1.01,1.01,2022-02-20,0457,T,61,6.1NRT,293.47,4.13,D
27.23836,84.56037,307.11,1.01,1.01,2022-02-20,0457,T,64,6.1NRT,294.23,5.2,D
26.28497,88.95554,310.44,1.34,1.15,2022-02-20,0457,T,14,6.1NRT,299.13,9.39,D
26.41646,86.84882,309.69,1.07,1.03,2022-02-20,0459,T,41,6.1NRT,298.01,6.36,D
25.57854,91.21649,300.25,1.95,1.36,2022-02-20,0459,T,33,6.1NRT,289.77,7.84,D
25.5642,91.29055,300.86,1.97,1.37,2022-02-20,0459,T,42,6.1NRT,290.44,9.85,D
25.58646,91.21275,302.98,1.95,1.36,2022-02-20,0459,T,54,6.1NRT,290.13,12.1,D
26.92868,81.83443,307.5,1.26,1.12,2022-02-20,0459,T,62,6.1NRT,293,8.78,D
25.67871,89.69309,301.77,1.53,1.22,2022-02-20,0459,T,0,6.1NRT,287.83,3.44,D
24.63972,93.85467,302.74,3.14,1.68,2022-02-20,0459,T,45,6.1NRT,290.79,20.18,D
26.34271,83.31201,327.99,1.07,1.03,2022-02-20,0459,T,64,6.1NRT,297.61,25.55,D
25.51465,85.87289,307.48,1.02,1.01,2022-02-20,0459,T,0,6.1NRT,296.95,5.96,D
25.99226,81.99545,309.28,1.21,1.09,2022-02-20,0459,T,64,6.1NRT,295.97,7.97,D
24.67891,84.03821,319.46,1.01,1,2022-02-20,0459,T,57,6.1NRT,293.74,13.86,D
24.0021,87.30942,311.27,1.18,1.08,2022-02-20,0459,T,60,6.1NRT,297.64,6.54,D
23.16495,82.34299,312.9,1.09,1.04,2022-02-20,0459,T,52,6.1NRT,299.43,6.77,D
21.07322,85.04127,307.69,1.04,1.02,2022-02-20,0459,T,52,6.1NRT,295.01,4.99,D
20.94806,85.0134,313.29,1.04,1.02,2022-02-20,0459,T,66,6.1NRT,295.74,8.49,D
20.86802,84.99364,308.74,1.04,1.02,2022-02-20,0459,T,48,6.1NRT,293.65,6.24,D
21.17959,81.38716,316.92,1.15,1.07,2022-02-20,0459,T,0,6.1NRT,300.39,9.11,D
42.58398,91.32749,312.11,1.04,1.02,2022-02-20,0455,T,72,6.1NRT,283.7,11.89,D
41.8213,88.90221,302.65,1,1,2022-02-20,0455,T,37,6.1NRT,278.97,4.68,D
41.81578,88.87624,306.81,1,1,2022-02-20,0455,T,64,6.1NRT,279.03,7.44,D
40.66821,81.85445,311.06,1.88,1.34,2022-02-20,0455,T,71,6.1NRT,280.82,27.13,D
19.26418,82.55626,315.54,1.02,1.01,2022-02-20,0459,T,65,6.1NRT,299.66,6.6,D
17.66899,82.76362,315,1,1,2022-02-20,0459,T,64,6.1NRT,300.12,7.27,D
17.9235,79.06504,314.41,1.43,1.18,2022-02-20,0459,T,46,6.1NRT,300.3,8.32,D
17.31276,80.70261,314.79,1.13,1.06,2022-02-20,0459,T,59,6.1NRT,301.08,6.05,D
17.46229,77.98824,327.86,1.67,1.27,2022-02-20,0459,T,77,6.1NRT,303.01,32.08,D
16.64238,80.29566,326.17,1.17,1.08,2022-02-20,0501,T,78,6.1NRT,301.2,19.78,D
16.64094,80.30648,319.63,1.17,1.07,2022-02-20,0501,T,68,6.1NRT,302.23,11.5,D
16.67229,79.76475,318.37,1.25,1.11,2022-02-20,0501,T,64,6.1NRT,304.24,7.28,D
16.19429,79.20119,319.72,1.33,1.14,2022-02-20,0501,T,61,6.1NRT,304.29,11.11,D
15.46394,79.96095,318,1.18,1.08,2022-02-20,0501,T,56,6.1NRT,304.31,8.39,D
14.22875,77.07214,317.74,1.75,1.3,2022-02-20,0501,T,46,6.1NRT,304.43,8.35,D
13.9623,77.90325,321,1.51,1.21,2022-02-20,0501,T,50,6.1NRT,305.66,13.97,D
14.17109,75.83744,320.5,2.17,1.43,2022-02-20,0501,T,49,6.1NRT,303.52,28.78,D
13.7723,78.94926,317.7,1.28,1.12,2022-02-20,0501,T,53,6.1NRT,305.82,8.31,D
14.15901,75.82967,325.02,2.17,1.43,2022-02-20,0501,T,66,6.1NRT,303.56,37.87,D
13.28488,80.19405,321.07,1.1,1.04,2022-02-20,0501,T,68,6.1NRT,304.02,10.5,D
13.38584,76.30519,314.88,1.95,1.36,2022-02-20,0501,T,37,6.1NRT,302.02,12.41,D
12.28172,76.74904,322.74,1.73,1.29,2022-02-20,0501,T,72,6.1NRT,303.99,21.48,D
31.97855,120.61526,301.6,1.2,1.09,2022-02-20,0501,A,22,6.1NRT,287.38,6.06,D
34.05333,120.20422,302.37,1.17,1.08,2022-02-20,0501,A,52,6.1NRT,288.06,6.92,D
34.07981,120.18461,302.16,1.17,1.08,2022-02-20,0501,A,35,6.1NRT,287.28,6.55,D
